RAMP3,CRCP
PDGFRA,PGF
PDGFRA,PGF
PDGFRA,MMRN1
IFNAR1,IL15
IFNAR1,IL13RA2
ENG,BMPR2
LGALS3,TREML2
ANXA7,ERBIN
TAC1,CCKBR
TAC1,SCTR
TRH,EDNRB
TRH,EDNRB
TRH,TACR1
TRH,NPY2R
COL9A1,COL1A2
COL9A1,MAG
COL9A1,ADAMTSL4
GRK2,CXCR2
GRK2,AGTR1
GRK2,CCR5
GRK2,CXCR4
ERBB3,PDGFA
ERBB3,LGALS3
ERBB3,RYK
ERBB3,P2RY2
CD9,ERBIN
MMP8,HAPLN1
ITGA6,MYOC
ITGA6,MYOC
PTPRB,DCC
PTPRB,LAMC3
PTPRD,CNTN2
IL4R,EPOR
IL4R,OSMR
GRK2,CXCR2
GRK2,AGTR1
LAMA1,DCC
ITGB7,ERBB4
ITGB7,ERBB4
ACVR2A,BMP6
CALR,TFPI
CALR,DPP7
BDKRB2,TAC3
SLC7A1,UGGT1
NTSR1,TAC3
IL2RG,IL27
RYK,GPC4
THBS2,GPC1
THBS2,ERBIN
FBN1,L1CAM
FBN1,GPC1
FBN1,DCD
FBN1,COL17A1
KDR,PDGFA
KDR,PTPRU
TGFBR1,MGP
TGFBR1,ACVR2A
TGFBR1,ACVR2B
TGFBR1,ERBB2
ACVRL1,MGP
ACVRL1,ACVR2B
MMP12,BCAN
GRIA2,GRIK4
GDF5,BMP6
GUCA1A,ITPR2
KIR3DL1,FCER1G
MMP13,ACAN
MTNR1A,LPAR2
IFNAR2,KITLG
IFNAR2,IL3RA
IFNAR2,IL2RG
CCN3,GPC1
TGM4,ICAM4
VEGFC,GPC1
INSL3,EGFR
INSL3,INSR
INSL3,IGF1R
INSL3,ERBB3
HNRNPM,EGFR
HNRNPM,HSP90B1
HNRNPM,CALR
HNRNPM,HSP90B1
HNRNPM,NME1
HNRNPM,SELPLG
COL4A4,COL11A1
INHBC,BMP4
INHBC,BMP6
LAMB2,NEO1
LAMB2,EMILIN1
INHBE,TGFB3
INHBE,ACVR1
INHBE,INHBB
INHBE,BMP4
INHBE,ACVR2A
INHBE,INHBC
INHBE,INHBE
INHBE,BMPR2
IL2,PRLR
IL2,IL4R
IL2,CSF3R
HSPG2,LGALS3
HSPG2,LAMA1
HSPG2,ATP1B3
NDP,GFRA1
NDP,GFRA1
RUNX1,UGGT1
CNTN2,NTN1
COL7A1,LAMA2
NOTCH2,RPSA
NOTCH2,EMILIN3
GRIN1,GRIK2
GRIN1,GRIK4
LRP1,ERBIN
MFGE8,DCC
MFGE8,LAMA3
MFGE8,ROBO1
MFGE8,ROBO1
GRIN2A,DLG1
GRIN2A,DLG1
TRAF2,SORT1
ACVR2B,TGFBR3
ACVR2B,BMPR2
LAMC2,LAMA5
COL4A6,COL1A2
COL4A6,GPC1
COL4A6,FBLN2
COL9A3,COL11A1
IL17A,IL17B
AMHR2,BMP4
AMHR2,INHBE
AMHR2,TGFB2
AMHR2,TGFBR3
AMHR2,ACVR2B
AMHR2,AMHR2
P3H1,CD44
P3H1,YARS1
P3H1,DCD
P3H1,LGALS3BP
NAXE,COL17A1
HTRA1,ERBB4
HTRA1,ERBB4
GLG1,MMRN1
GLG1,LAMA4
EGFL8,ERBB4
EGFL8,ERBB4
TLR9,ERBIN
IL20RA,IL15
PCYOX1,CALR
CCR7,XCL1
CCR7,DEFB103A
CCR7,CCL15
CCR7,XCL2
BLR1,GRK2
NPFFR2,GRK2
TGFBR2,NGF
TGFBR2,ERBB2
TGFBR2,RET
TGFBR2,BMP3
TGFBR2,INHBC
LAMB4,COL17A1
LEP,LIFR
LEP,CSF3R
NPY,HLA-DOB
NPY,CCKBR
NPY,PTH1R
INHBA,BMPR2
INHBA,TGFBR2
RAMP3,CALCRL
TGFB3,MGP
IFNGR2,IFNA8
CCRL2,GRK2
ADAM17,EPHB2
ADAM17,PTCH1
ADAM17,PTCH2
AgRP,GPR182
AgRP,OPRM1
AgRP,P2RY2
AgRP,LPAR4
LILRB2,MS4A1
LILRB2,CD247
LILRB2,HCST
LOX,KRT1
LOX,MMP14
LOX,TSPEAR
LOX,OLFM1
ACVR1,CUL5
VTN,ITGB2
VTN,OLFM4
ACAN,DCC
ACAN,NEO1
SERPINA1,GDF10
SERPINA1,PAPPA
SERPINA1,CD163
SERPING1,ERBB2
NR3C4,IL5
FGFR4,FGF9
FGFR4,FGF12
ESR1,ESR1
ESR1,RXRB
INS,ERBB2
MIF,HSP90AA1
KIR2DS1,FCER1G
KIR2DS2,HCST
EL52,LGALS1
EL52,SMC3
ITGB5,EGFR
ITGB5,PRDX5
ITGB5,LTBP4
MASP2,FCN2
CORT,MC5R
CORT,OPRD1
CORT,MC1R
BMPR1B,ACVRL1
NRG2,ERBB4
TOR1A,FBN1
NRP1,VEGFA
PLSCR1,ERBB4
PLSCR1,ERBB4
EPHB6,EFNA4
LAMA5,CDH1
LAMA5,ERBIN
MLNR,TAC3
KIR3DS1,CD247
KIR3DS1,HCST
HCRT,CALCRL
CALU,LGALS3BP
CALU,DPP7
VEGFD,ITGAV
VEGFD,PDGFRB
VEGFD,PDGFRA
GDF9,BMP6
GDF9,INHBE
GDF9,TGFB2
NRP2,PLXNB2
NRP2,LAMC1
NRP2,LAMA1
PSPN,TGFBR2
TLR2,CTSB
TLR2,GP1BB
SNX2,IL17RB
SNX2,KL
MEGF6,HTRA1
LRP6,GPC4
GDF11,BMP4
GDF11,TGFB2
UTS2,TACR1
UTS2,SCTR
EGFR,ANGPT2
EGFR,EPHB6
EGFR,A2M
EGFR,VEGFA
EGFR,FER
EGFR,FLT4
EGFR,FLT4
EGFR,EPHB3
EGFR,EPHA5
EGFR,EPHB1
EGFR,OR8D2
HP,LGALS3BP
PLG,AHSG
PLG,GSN
PLG,ITGA5
PLG,LAMC1
PLG,ITGA4
PLAU,KNG1
PLAT,LAMA2
SERPINA3,GDF10
SERPINA3,PAPPA
A2M,PTPRH
C3,PIP
C3,DCC
C3,MYDGF
LDLR,P3H1
LDLR,HTRA1
EGF,ERBB4
EGF,ERBB4
TGFB1,RYK
TGFB1,BMPR1A
TGFB1,NTN4
GNRH1,NPY1R
GNRH1,UTS2R
CGA,GPC1
CGA,PGF
CGA,INHBE
CGA,GFRA4
TSHB,GFRA1
TSHB,GFRA1
LHB,GFRA1
TG,UGGT1
VIP,SCTR
IFNG,IFNLR1
IL2RA,CSF2RA
PIGR,CRISPLD2
COL1A1,TGFB2
COL2A1,ACHE
COL2A1,ADAMTSL4
COL4A1,COL1A2
COL4A1,MAG
COL4A1,ADAMTSL4
FGA,FOLR1
APOH,LRP1B
AHSG,TFR2
ALB,YARS1
ALB,ITPR3
ALB,SUSD2
TF,RYR1
TF,SRPX
TF,RUNX1
TF,RYR2
TF,HTRA1
TF,MYDGF
LTF,CTSB
LTF,CLU
LTF,TIMP2
FGF2,IL1R1
FGF2,IL1RAP
APOB,PTPRJ
APOB,ITGA9
APOB,LTBP4
APOB,HTRA1
APOB,ITGA11
APOB,SMC3
APOB,ROBO1
CSF2,IL6R
CSF2,IL4R
CSF2,IL12RB2
KRT1,FBN2
KRT1,FAP
KRT1,PRDX4
KRT1,HTRA1
ERBB2,EPHB6
ERBB2,PDGFRA
ERBB2,CSF2RB
ERBB2,EPHB1
ERBB2,NRG1
ERBB2,COL7A1
ERBB2,PTCH1
ERBB2,LAMA4
ERBB2,EMILIN3
NTRK1,PTPRB
IGF1,INSR
IGF1,IGF1R
IGF1,IGFBP6
IGF1,IGFBP5
IGF1,ERBB2
IGF1,IGF1R
ITGB3,PRDX5
ITGB3,IGFBP7
ITGB2,IGFBP3
ITGB2,PRDX5
ITGB2,B2M
ITGB2,TAOK2
INHA,TGFB2
FGF1,IL1RAP
ITGB1,ERBB2
ITGB1,LGALS3
COL5A2,ITGB1
COL5A2,ITGB1
COL5A2,MAG
HLA-DOA,HLA-G
HLA-DOA,LILRB1
GSN,APOE
GSN,APOC2
GSN,CTSB
GSN,AOAH
GSN,CDSN
GSN,STOML2
GSN,COL17A1
CD2,SECTM1
ITGAV,NOTCH3
ITGAV,EMILIN1
CRH,EDNRB
CRH,TACR1
CRH,DPP4
CRH,ADM
CRH,NPY5R
LPL,PTHLH
CALCA,CRELD2
TGFB1,AMHR2
KLK3,GSN
ANXA2,DCC
PRSS1,CXCL12
GRP,CCKBR
GRP,TRHR
GRP,SCTR
GRP,EDNRA
GRP,HLA-DQB1
GRP,HLA-DQB1
GRP,NPFFR1
PSAP,SMC3
CTSL,KNG1
CTSL,CADM1
CTSB,ICAM4
HSP90AA1,ERBB2
LAMB1,ELN
LAMB1,ELN
LAMB1,NAV2
THBS1,MFAP5
COL1A2,COL5A3
CTSG,CTSB
COL4A2,COL2A1
COL4A2,PTN
COL4A2,COL4A4
PTPRC,PTPRB
MET,LAMA4
ADRB1,PTGFR
RPSA,UGGT1
HTR1A,GRK2
HTR1A,HTR4
NMB,NPY1R
NMB,EDNRB
NMB,EDNRB
NMB,PTH1R
NMB,NPFFR1
MMP7,SDC4
MMP10,TIMP2
INHBB,ACVR2A
INHBB,BMPR1A
TACSTD2,LGALS3BP
TACSTD2,UGGT1
PYY,CCKBR
AR,NR1D1
AR,PTPRN2
AR,GRIP1
PTPRF,NTNG1
CLU,nan
LAMC1,LAMC1
LAMC1,NEO1
LAMC1,ERBIN
LAMC1,COL17A1
FGFR1,EPHB6
FGFR1,EPHA3
FGFR1,EPHA5
FGFR1,PTPRJ
FGFR1,KL
BMP4,ACVR1
BMP4,BMP3
BMP4,TGFBR1
CDH1,ITGA4
CDH1,ITGA3
GP1BB,RTN4RL2
TDGF1,FZD8
ACAN,DCC
ITGA4,DPP7
IL2RB,IFNA8
IL2RB,IL5RA
IL2RB,CTF1
IL2RB,CTF1
PVR,CD7
ELN,CRISPLD2
ELN,DCD
ELN,CRISPLD2
VEGFA,ITGAV
ITGB4,RPSA
ITGB4,NID1
ITGB4,LAMA1
ITGB4,CNTN1
ITGB4,ITGA11
ITGB4,RPSA
ITGB4,NID1
ITGB4,LAMA1
ITGB4,CNTN1
ITGB4,ITGA11
PDGFRA,HTR1B
IFNAR1,IL22
LGALS3,SELPLG
ITGB6,PRDX5
TRH,NMUR1
NTF3,NTRK2
EDN2,CRELD2
COL9A1,COL9A3
FPR1,TAC3
ERBB3,NRP1
ERBB3,PTPRA
ERBB3,EPHB2
ERBB3,EPHB2
DRD4,TAC3
CD9,ITPR3
BMP6,MGP
BMP6,BMP4
MMP8,TIMP2
PTPRB,LAMA5
PTPRB,NEO1
PTPRD,NTN1
BDNF,BDNF
BDNF,NTRK3
LAMA2,DCC
IL4R,LIFR
IL4R,PTPRJ
CXCR2,TAC3
GRK2,FPR1
GRK2,CXCR3
GRK2,CCR8
ITGA3,ITGB7
MST1,LAMC3
ACVR2A,BMP4
ACVR2A,BMPR2
ACVR2A,GDF6
CALR,NPTX1
CCN2,GPC4
RYK,WNT7B
SFTPD,THBD
SFTPD,CD93
FBN1,ELN
TIE1,PTPRK
BMPR1A,MGP
ACVR1B,ACVR2A
TGFBR1,BMPR1A
TGFBR1,BMPR2
TGFBR1,AMHR2
ACVRL1,ACVR2A
CCL1,ERBIN
MMP12,ACAN
MMP12,TIMP2
GRIA1,GRIA1
GRIA2,GRIK2
GDF5,MGP
MTNR1A,AGTR1
IFNAR2,IL20RA
MMP15,TIMP2
HNRNPM,NME1
HNRNPM,ANXA7
HNRNPM,PRDX4
HNRNPM,ERP44
COL4A4,COL2A1
COL4A4,GPC1
COL4A4,DDR1
COL4A4,DDR1
EPHB1,RYK
VCP,PAPPA
VCP,SELPLG
INHBC,INHBB
INHBC,ACVR2A
INHBC,TGFB2
INHBC,TGFBR2
INHBE,BMPR1A
IL2,IL6R
IL2,IL2RB
IL2,IL4R
IL2,IL12B
IL2,CSF2RB
IL2,IL13RA2
IL2,CSF3R
DCD,nan
HSPG2,TNC
HSPG2,LAMB3
HSPG2,LAMA3
HSPG2,CRISPLD2
IL1RL1,IL1RAP
COL7A1,LAMA1
MUC2,SELPLG
DST,SMC3
NOTCH2,MFNG
NOTCH2,STOML2
GRIN1,DLG1
GRIN1,DLG1
MFGE8,LAMA5
MFGE8,LAMA4
MFGE8,NTN4
EFEMP1,ERBIN
ACVR2B,BMP6
ACVR2B,AMHR2
LAMC2,ERBIN
ITGA9,MYOC
COL4A6,ACHE
COL4A6,COL5A3
COL9A3,ADAMTSL4
EBI3,IL12RB1
IL13RA2,IL12RB1
IL13RA2,IL13RA2
IL17A,PDGFA
IL17A,IL25
AMHR2,ERBB2
AMHR2,ACVRL1
AMHR2,INHBC
MICB,HCST
P3H1,PAPPA
P3H1,CDSN
IL23R,CTF1
IL23R,CTF1
IL20RB,IL27
NAV2,NEO1
SEMA6D,MET
NELL1,GPC4
NELL1,GPC1
SDF4,UGGT1
UGGT1,FOLR1
IL20RA,IL22
CCR7,CCL2
CCR7,CCL14
TGFBR2,PAPPA
TGFBR2,KL
LEP,IL2RG
LEP,CSF2RB
LEP,PTPRO
LEP,IL27RA
LEP,CSF3R
CD36,SEMG2
INHBA,BMP6
TGFB3,INHBB
HLA-A,B2M
LILRB2,FCGR1A
LOX,FGB
LOX,FBLN2
SERPINA1,CTSL
SERPINA1,ELN
SERPINA1,ELN
HEL111,ERBB2
NR3C4,AOAH
NR3C4,IL25
FGFR4,FGF23
FGFR4,FGF22
ESR1,AOAH
ESR1,PKD1L3
ESR1,PTPRN2
INS,EGFR
MIF,ERBB2
MIF,B2M
MIF,P3H1
KIR2DS1,HCST
KIR2DS2,HCST
EL52,VCAM1
EL52,TGM4
EL52,ERP44
FLT1,VEGFC
ITGB5,PRDX4
ITGB5,LTBP2
CORT,NMBR
CORT,HRH1
CORT,HLA-DQB1
BMPR1B,ACVR1
F2RL2,TAC3
LAD1,ANXA7
ACKR2,DEFB103A
ACKR2,TAC3
CCN1,NTRK3
NRP1,NTN1
NRP1,NEO1
EREG,ERBB4
LAMA5,CDH2
LAMA5,STOML2
GRIN2D,GRIP1
GRIN2D,GRIP1
FLRT2,ERBIN
TGFB1I1,SELPLG
KIR3DS1,FCER1G
CALU,CTSD
CALU,FBN1
CALU,UGGT1
VEGFD,DDR1
GDF9,INHBB
NRP2,PDGFA
SNX2,KDR
LRP5,DLG1
LRP6,GPC1
KCNH1,GRIK4
KCNH1,GRIK4
GDF11,GDF9
UTS2,GPR182
UTS2,EDNRB
UTS2,NPY5R
UTS2,NMUR1
FGF19,FGFBP1
EFEMP2,EFEMP2
PNP,HSP90B1
PNP,SDF2
PNP,ERBIN
EGFR,CD44
EGFR,ANXA7
EGFR,LAMC2
EGFR,LAMC2
EGFR,LAMA3
EGFR,NEO1
C1R,FCN1
HP,YARS1
PLG,PLAT
PLG,FGB
PLG,ITGAV
PLG,ITGA6
PLG,ITGA3
PLG,ITGA7
PLG,CDSN
PLG,ITGA11
F12,KNG1
F12,PLAUR
PLAU,KNG1
PLAU,LRP1
PLAU,LRP1
SERPINA3,IDE
A2M,ALB
A2M,ANXA2
TGFB1,LAMC3
GNRH1,EDNRB
GNRH1,EDNRB
GNRH1,NPY2R
CGA,TSHR
CGA,PGF
FSHB,TSHR
FSHB,LHCGR
VIP,IDE
VIP,HLA-DQB1
VIP,HLA-DQB1
IL2RA,EPOR
IL2RA,IL13RA1
IL2RA,IL5RA
CD4,PTPRH
PIGR,CD163
HLA-DQA1,HLA-DQA2
HLA-DQA1,HLA-DPA1
HLA-DQA1,LILRB1
COL1A1,ADAMTSL4
COL2A1,COL11A1
COL3A1,MAG
COL3A1,MAG
COL4A1,COL2A1
COL4A1,MAG
APCS,FCN2
AHSG,PLAUR
ALB,VCAM1
TFRC,CRTAP
TF,CST3
TF,ALB
TF,SERPINF1
TF,SELPLG
TF,SERPINA12
TF,STOML2
LTF,AHSG
LTF,ALDOA
LTF,CD1D
LTF,HFE
MMP1,ACAN
MMP1,TIMP2
AMH,TGFB2
ANXA1,PTPRF
ANXA1,L1CAM
ANXA1,NOTCH3
APOB,ITGB4
APOB,ANXA7
APOB,ENPP1
APOB,TAOK2
CSF2,IFNAR1
ERBB2,EPHB3
ERBB2,EPHA5
ERBB2,PTPRS
WNT1,FZD5
WNT1,BMPR2
IGF1,EGFR
IGF1,ERBB3
IGF1,IGFBP4
IGF1,ESM1
IGF1,INSR
ITGB3,HMGB1
ITGB3,B2M
ITGB2,NME1
ITGB2,GRN
ITGB2,FBN2
S100A8,SELPLG
INHA,BMP4
INHA,BMP6
IL5,IL2RB
IL5,IL3RA
ITGB1,ERBB3
COL5A2,COL9A3
GSN,APOA2
GSN,FOLR1
GSN,ELN
GSN,ELN
ITGAV,ITGB2
ITGAV,ITGB1
ITGAV,TNXB
ITGAV,ADAM2
CRH,EDNRB
TGFB1,NTN1
ANXA2,PIP
GRP,TACR1
ADRB2,AGTR1
PSAP,ALB
CTSL,AHSG
CTSL,GSN
CTSL,C1QBP
CTSL,GPRC5A
LAMB1,LAMB2
LAMB1,LAMC2
LAMB1,LAMC2
LAMB1,ANKAR
LAMB1,EMILIN3
RET,PDGFA
THBS1,NID1
COL1A2,COL2A1
CTSG,CST3
COL4A2,COL5A3
MET,CDH2
ADRB1,HTR4
ADRB1,TAC3
ITGA5,COL17A1
HTR1A,PTGFR
HTR1A,PTGER3
NMB,NPY5R
NMB,NMUR1
NMB,TACR1
FGF2,FGFR3
MMP7,VCAN
LGALS1,ICAM4
INHBB,ACVRL1
PDGFRB,MMRN1
PDGFRB,PTPRU
SCT,CALCRL
PYY,VIPR1
PTPRF,ROBO2
PTPRF,ROBO2
ALPG,LRPAP1
CLU,RUNX1
LAMC1,NOTCH3
LPL,PTHLH
ITGAM,F11R
IGF2R,ITGA11
BMP4,ACVRL1
CDH1,RPSA
TDGF1,FZD4
BMP1,IL16
BMP1,IL16
DRD2,GRK2
PKM,RYR2
HSP90B1,ERBB4
HSP90B1,ERBB4
HSP90B1,UGGT1
IL1R1,IL18
MMP9,VCAN
IL2RB,KITLG
IL2RB,IL15
ELN,SEMG2
CSF2RA,IL13RA2
VEGFA,PDGFA
VEGFA,ITGA9
VEGFA,ITGA9
ITGB4,CNTN1
ITGB4,LAMA3
ITGB4,CNTN1
ITGB4,LAMA3
PDGFRA,PTPRA
PDGFRA,PTPRG
ENG,ERBB2
LGALS3,BSG
LGALS3,SUSD2
CDH2,TEK
TAC1,TRHR
TAC1,AVPR1A
TAC1,CRHR1
TRH,GALR1
NTF3,NTRK1
COL9A1,GPC4
COL9A1,ACHE
COL9A1,COL5A3
GRK2,FPR1
GRK2,CXCR3
GRK2,CCR8
KITLG,IL6R
KITLG,IL2RG
BGN,FBLN2
ERBB3,EPHB3
ERBB3,EPHB1
BMP6,GDF6
GAS1,ITPR3
IL10,IL20RA
FGFR4,FGF1
FGFR4,FGF12
FGFR4,FGF23
GAL,CALCRL
MMP8,VCAN
ITGA6,TSPAN14
PTPRB,PTN
BDNF,LHCGR
F2R,TAC3
ITGA3,COL17A1
MST1,LAMA1
ACVR2A,AMHR2
COL8A1,FBLN2
CALR,NPTX2
CALR,C1QBP
GRN,BMPR2
TNFRSF8,TNFSF10
EPHB2,EFNA4
EPHB2,EFNA4
COL4A5,COL1A2
CCR1,GRK2
IFNA8,IFNAR1
ICAM3,SCARB1
ADRA1B,LPAR4
BSG,SCG2
BMPR1A,AMHR2
TGFBR1,AMHR2
IL6ST,CTF1
CCR2,GRK2
GRIA1,GRIK5
GRIA1,GRIN3A
LIFR,PTPRB
GDF5,INHBB
GUCA1A,ITPR3
MMP13,HAPLN1
MMP13,TIMP2
CCR10,GRK2
IFNAR2,IFNAR1
IFNAR2,IFNAR2
MASP1,PTX3
MMP14,ACAN
MMP14,TIMP2
CCR3,GRK2
CCR5,GRK2
HNRNPM,ANXA7
INHBC,INHBE
INHBC,AMHR2
LAMB2,PIP
LAMB2,LAMA2
LAMB2,LAMA1
WNT4,FZD4
NRG3,ERBB4
INHBE,ERBB2
INHBE,ACVRL1
IL2,IL7R
IL2,IL3RA
IL2,CNTFR
IL2,IL6ST
IL2,IL13RA1
IL2,IL27RA
IL2,IL12RB2
DCD,TF
HSPG2,LAMC1
HSPG2,NEO1
NDP,LHCGR
NOTCH2,FBLN1
NOTCH2,LAMA4
NOTCH2,ROBO2
NOTCH2,CELSR1
NOTCH2,CELSR3
C1QBP,LINGO1
C1QBP,ERBIN
MFGE8,CPVL
MFGE8,UGGT1
TRAF2,TNFRSF10B
IL18R1,CD48
HTR4,PTGFR
ACVR2B,BMP4
ACVR2B,GDF6
ACVR2B,IGSF1
LAMB3,LAMB1
LAMB3,NEO1
LAMC2,COL17A1
IL13RA2,IFNA8
ERBB4,MMRN1
SLC1A5,P3H1
IL17A,FSHR
AMHR2,INHBB
AMHR2,CD44
CHRDL2,GPC1
GPHB5,TSHR
GPHB5,FSHR
IL22RA1,KITLG
IL22RA1,IL13RA2
IL17RC,IL17RB
NELL1,ERBIN
ROBO2,NTN4
KCNIP2,SELPLG
KCNIP2,UGGT1
CCR7,CCL11
TGFBR2,ACVR2A
TGFBR2,IGSF1
TGFBR2,ERP44
LEP,APCS
LEP,IL7R
LEP,IL4R
LEP,XYLT1
LEP,ROBO4
NPY,CRCP
NPY,AVPR1A
CD36,ELN
INHBA,TGFB2
INHBA,GDF6
TGFB3,BMP4
TGFB3,GDF6
NR3C2,IL5
HLA-A,KLRD1
ADAM17,ERBB3
LTBP3,MFAP5
LTBP3,ERBIN
BMP2,TGFB3
BMP2,INHBC
LILRB2,LILRB1
LOX,SEMG2
ACVR1,GDF6
VTN,ITGB1
SERPINA1,ADIPOR1
SERPINA1,ITGA11
SERPINA1,ICAM5
SERPING1,ELN
SERPING1,AOAH
PLSCR4,FBLN5
NR3C1,RXRB
EECP,ANXA5
INS,ERBB3
MIF,GP1BB
MIF,OVGP1
MIF,ERBB4
MIF,ERBB4
MIF,SV2A
MIF,LINGO1
MIF,LINGO1
MIF,STOML2
KIR2DS1,HCST
KIR2DS2,HLA-G
EL52,YARS1
EL52,ITPR3
EL52,ERBB4
EL52,ERBB4
EL52,SMC3
ITGB5,ESM1
MASP2,FGG
TLR4,RXFP2
CORT,HLA-DQB1
BMPR1B,INHBE
F2RL2,DEFB103A
F2RL2,PROCR
EBAG9,CRELD2
FCN1,TGFB1
TOR1A,FBN2
NRP1,DCC
NRP1,PGF
TNFSF11,MIA
PLXNB2,AP2M1
PLXNB2,AP2M1
ANGPT2,ELN
ANGPT2,MAG
PLSCR1,IGF1
PLSCR1,SDC4
CHAD,ITGA1
CHAD,ITGA11
KIR3DS1,HCST
CALU,CDH1
CALU,ELN
TYROBP,TREM2
VEGFD,DDR1
NRP2,PLXNA2
PSPN,INHBB
PSPN,ACVR2A
PSPN,INHBC
PSPN,GFRA1
PSPN,TGFB2
TLR2,SFTPD
TLR2,C1QBP
SNX2,ACVR2A
SNX2,ERP44
GPC4,CRTAP
IL18RAP,IL37
GDF11,TGFB3
UTS2,ADM
EFEMP2,nan
LGI1,ADAM22
PNP,C1QBP
PNP,RTN4RL2
PNP,SDF4
PNP,SDF2L1
EGFR,EPOR
EGFR,TMED1
EGFR,PTCH1
EGFR,EPHA7
EGFR,SCUBE3
EGFR,MYOC
EGFR,ULBP2
EGFR,PTPRH
EGFR,CELSR3
F2,LAMA1
F2,LAMC3
C1R,FCN3
HPR,DCD
CFD,KNG1
CFD,CXCL12
PLG,CP
PLG,F2
PLG,ALDOA
PLG,CTSB
PLG,CD44
PLG,ITGA6
PLG,ITGA1
PLG,SERPINA12
PLAU,F5
PLAT,KNG1
PLAT,AMBP
PLAT,F5
PLAT,HSPG2
REN,YARS1
A2M,ANXA5
A2M,PTN
A2M,MFAP5
A2M,ANKAR
A2M,RYR2
TIMP1,MMP14
LDLR,ERBB2
LDLR,PAPPA
EGF,ERBIN
TGFB1,HSPG2
NPPA,CRELD2
POMC,CRELD2
IL2RA,IL27RA
IL2RA,IL20RB
CD4,PTPRB
CD4,DCD
PIGR,YARS1
HLA-DQA2,HLA-DQA2
COL1A1,ITGAV
COL1A1,COL9A3
COL2A1,COL2A1
COL2A1,MAG
COL2A1,COL4A4
COL2A1,FBLN2
COL4A1,COL4A4
COL4A1,DDR1
APOE,YARS1
APOE,SRPX
CRP,KIR3DL1
CRP,NPTX1
APCS,SDF2
AHSG,MYOC
ALB,GRN
ALB,HNRNPM
ALB,HNRNPM
ALB,COL17A1
TFRC,SDF2
TF,EGFR
TF,KLK3
TF,ANXA5
TF,ICAM4
TF,NPTX1
LTF,ADIPOR1
MMP1,HAPLN1
FGF2,FGFR1
FGF2,FGFR1
ANXA1,ELN
ANXA1,CDH2
APOB,CTSD
APOB,LAMB1
APOB,THBS1
APOB,ITGA4
APOB,PDGFRA
APOB,THBS2
APOB,FLT4
APOB,FLT4
APOB,ITGA1
APOB,LAMA3
CSF2,CNTFR
CSF2,IL6ST
CSF2,IL5RA
CSF2,IL20RB
CSF2,NPTN
KRT1,DPP4
S100B,NAXE
ERBB2,P2RY2
ELN,ICAM4
IGF1,EGFR
IGF1,ERBB3
IGF1,ESM1
IGF1,IGFBP6
APP,GPC4
ITGB3,HMGB2
ITGB3,LTBP4
ITGB2,HMGB1
ITGB2,SELPLG
ITGB2,SERAC1
ITGB2,NOTCH3
S100A8,PRDX4
INHA,INHBB
IL5,IL13RA1
REG1A,KLRD1
SERPIND1,DMBT1
ITGB1,PIP
ITGB1,DCD
ITGB1,MFAP5
GSN,FGA
GSN,ALB
GSN,ANXA7
GSN,NR4A1
GSN,HMGB2
GSN,CALR
FCER2,NME1
FCER2,UGGT1
ITGAV,FN1
ITGAV,FBN2
CRH,IDE
CRH,HLA-DQB1
TGFB1,TGFB2
TGFB1,NTNG1
KLK3,GDF10
ANXA2,ELN
ANXA2,CDH2
ANXA2,AHR
PRSS1,SLC1A5
GRP,IDE
GRP,GALR1
ADRB2,LPAR4
PSAP,APOE
CTSL,CST3
CTSL,CST5
CTSL,BSG
LAMB1,L1CAM
LAMB1,CELSR3
THBS1,TSPEAR
COL1A2,GPC1
COL1A2,COL4A4
CTSG,AHSG
CTSG,ELN
ITGA2B,MYOC
ITGA2B,MYOC
COL4A2,COL18A1
ADRB1,ADRA1A
FCGR3A,FCGR2A
FCGR3A,FCGR2A
ITGA5,GPC4
ITGA5,ITGB7
ITGA5,MYOC
NMB,HLA-DQB1
NMB,TACR3
MMP7,IGFBP1
MMP7,SPOCK1
MMP7,BCAN
INHBB,INHBB
INHBB,BMP4
CTSH,AHSG
TACSTD2,TFRC
TACSTD2,YARS1
TACSTD2,P3H1
TACSTD2,SDF2
TACSTD2,NAXE
ALPI,FOLR1
AR,ESR1
AR,RXRB
AR,ESR2
CLU,CLU
CLU,SRPX
LPL,PTHLH
FGFR1,APLP1
FGF3,IL1RAP
COL11A1,GPC4
CDH1,CDH1
CDH1,ITGA2
CDH1,ITGA8
ICAM2,TREML2
ACAN,BCAN
ITGA4,DCC
ITGA4,SIAE
EDN3,TACR3
HGF,LAMC3
PKM,RYR1
PKM,RYR1
PKM,TGM4
PKM,PAPPA
MMP9,CDH1
MMP9,ACAN
MMP9,ERBB3
IL2RB,IL22
ELN,CPVL
ELN,SAA4
VEGFA,ITGA4
VEGFA,ITGA9
ITGB4,LAMA2
ITGB4,LAMA2
PDGFRA,VEGFB
PDGFRA,LPAR4
PDGFRA,LPAR2
IFNAR1,CTF1
ITGA2,LGALS1
ITGA2,FOLR1
ITGA2,LGALS3BP
ITGA2,SDF2L1
LGALS3,CD276
CDH2,KDR
VCAM1,ITGB1
VCAM1,ITGB1
ANXA7,UGGT1
AZU1,F3
TRH,NPY5R
TRH,CRELD2
NTF3,LGR4
COL5A1,GPC4
FGFR2,EPHB2
FGFR2,EPHB2
FGFR2,EPHA4
BGN,FBN1
BGN,FBLN2
